Creating 1 workers...
Opening file... beginning processing...
	 Frame 4290,	Number of micelles: 18
	 Frame 4300,	Number of micelles: 13
	 Frame 4310,	Number of micelles: 12
	 Frame 4320,	Number of micelles: 16
	 Frame 4330,	Number of micelles: 13
	 Frame 4340,	Number of micelles: 15
	 Frame 4350,	Number of micelles: 17
	 Frame 4360,	Number of micelles: 15
	 Frame 4370,	Number of micelles: 17
	 Frame 4380,	Number of micelles: 13
	 Frame 4390,	Number of micelles: 14
	 Frame 4400,	Number of micelles: 12
	 Frame 4410,	Number of micelles: 11
	 Frame 4420,	Number of micelles: 18
	 Frame 4430,	Number of micelles: 15
	 Frame 4440,	Number of micelles: 15
	 Frame 4450,	Number of micelles: 14
	 Frame 4460,	Number of micelles: 17
	 Frame 4470,	Number of micelles: 14
	 Frame 4480,	Number of micelles: 11
	 Frame 4490,	Number of micelles: 12
	 Frame 4500,	Number of micelles: 11
	 Frame 4510,	Number of micelles: 10
	 Frame 4520,	Number of micelles: 17
	 Frame 4530,	Number of micelles: 17
	 Frame 4540,	Number of micelles: 14
	 Frame 4550,	Number of micelles: 16
	 Frame 4560,	Number of micelles: 12
	 Frame 4570,	Number of micelles: 11
	 Frame 4580,	Number of micelles: 12
	 Frame 4590,	Number of micelles: 11
	 Frame 4600,	Number of micelles: 11
	 Frame 4610,	Number of micelles: 13
	 Frame 4620,	Number of micelles: 13
	 Frame 4630,	Number of micelles: 11
	 Frame 4640,	Number of micelles: 12
	 Frame 4650,	Number of micelles: 13
	 Frame 4660,	Number of micelles: 15
	 Frame 4670,	Number of micelles: 19
	 Frame 4680,	Number of micelles: 12
	 Frame 4690,	Number of micelles: 17
	 Frame 4700,	Number of micelles: 9
	 Frame 4710,	Number of micelles: 11
	 Frame 4720,	Number of micelles: 11
	 Frame 4730,	Number of micelles: 13
	 Frame 4740,	Number of micelles: 16
	 Frame 4750,	Number of micelles: 15
	 Frame 4760,	Number of micelles: 15
	 Frame 4770,	Number of micelles: 12
	 Frame 4780,	Number of micelles: 8
	 Frame 4790,	Number of micelles: 13
	 Frame 4800,	Number of micelles: 13
	 Frame 4810,	Number of micelles: 12
	 Frame 4820,	Number of micelles: 8
	 Frame 4830,	Number of micelles: 11
	 Frame 4840,	Number of micelles: 14
	 Frame 4850,	Number of micelles: 15
	 Frame 4860,	Number of micelles: 13
	 Frame 4870,	Number of micelles: 16
	 Frame 4880,	Number of micelles: 16
	 Frame 4890,	Number of micelles: 16
	 Frame 4900,	Number of micelles: 14
	 Frame 4910,	Number of micelles: 11
	 Frame 4920,	Number of micelles: 13
	 Frame 4930,	Number of micelles: 12
	 Frame 4940,	Number of micelles: 8
	 Frame 4950,	Number of micelles: 16
	 Frame 4960,	Number of micelles: 13
	 Frame 4970,	Number of micelles: 12
	 Frame 4980,	Number of micelles: 13
	 Frame 4990,	Number of micelles: 10
	 Frame 5000,	Number of micelles: 12
	 Frame 5010,	Number of micelles: 14
	 Frame 5020,	Number of micelles: 9
	 Frame 5030,	Number of micelles: 10
	 Frame 5040,	Number of micelles: 12
	 Frame 5050,	Number of micelles: 14
	 Frame 5060,	Number of micelles: 11
	 Frame 5070,	Number of micelles: 11
	 Frame 5080,	Number of micelles: 7
	 Frame 5090,	Number of micelles: 11
	 Frame 5100,	Number of micelles: 12
	 Frame 5110,	Number of micelles: 8
	 Frame 5120,	Number of micelles: 7
	 Frame 5130,	Number of micelles: 8
	 Frame 5140,	Number of micelles: 14
	 Frame 5150,	Number of micelles: 9
	 Frame 5160,	Number of micelles: 11
	 Frame 5170,	Number of micelles: 13
	 Frame 5180,	Number of micelles: 13
	 Frame 5190,	Number of micelles: 11
	 Frame 5200,	Number of micelles: 11
	 Frame 5210,	Number of micelles: 10
	 Frame 5220,	Number of micelles: 15
	 Frame 5230,	Number of micelles: 10
	 Frame 5240,	Number of micelles: 17
	 Frame 5250,	Number of micelles: 10
	 Frame 5260,	Number of micelles: 13
	 Frame 5270,	Number of micelles: 15
	 Frame 5280,	Number of micelles: 13
	 Frame 5290,	Number of micelles: 18
	 Frame 5300,	Number of micelles: 14
	 Frame 5310,	Number of micelles: 17
	 Frame 5320,	Number of micelles: 14
	 Frame 5330,	Number of micelles: 10
	 Frame 5340,	Number of micelles: 11
	 Frame 5350,	Number of micelles: 14
	 Frame 5360,	Number of micelles: 11
	 Frame 5370,	Number of micelles: 15
	 Frame 5380,	Number of micelles: 17
