   Cores     AvgAgg     AvgDistCores     Stem     Petal
 323          2    58.5000     0.0000     1.0000     0.0000
 324          1   117.0000     0.0000     1.0000     0.0000
 325          1   117.0000     0.0000     1.0000     0.0000
 326          1   117.0000     0.0000     1.0000     0.0000
 327          1   117.0000     0.0000     1.0000     0.0000
 328          1   117.0000     0.0000     1.0000     0.0000
 329          1   117.0000     0.0000     1.0000     0.0000
 330          1   117.0000     0.0000     1.0000     0.0000
 331          1   117.0000     0.0000     1.0000     0.0000
 332          1   117.0000     0.0000     1.0000     0.0000
 333          1   117.0000     0.0000     1.0000     0.0000
 334          1   117.0000     0.0000     1.0000     0.0000
 335          1   116.0000     0.0000     1.0000     0.0000
 336          1   117.0000     0.0000     1.0000     0.0000
 337          1   117.0000     0.0000     1.0000     0.0000
 338          1   117.0000     0.0000     1.0000     0.0000
 339          1   117.0000     0.0000     1.0000     0.0000
 340          1   117.0000     0.0000     1.0000     0.0000
 341          1   117.0000     0.0000     1.0000     0.0000
 342          1   117.0000     0.0000     1.0000     0.0000
 343          1   117.0000     0.0000     1.0000     0.0000
 344          1   117.0000     0.0000     1.0000     0.0000
 345          1   116.0000     0.0000     1.0000     0.0000
 346          1   117.0000     0.0000     1.0000     0.0000
 347          1   117.0000     0.0000     1.0000     0.0000
 348          1   117.0000     0.0000     1.0000     0.0000
 349          1   117.0000     0.0000     1.0000     0.0000
 350          1   117.0000     0.0000     1.0000     0.0000
 351          1   117.0000     0.0000     1.0000     0.0000
 352          1   117.0000     0.0000     1.0000     0.0000
 353          1   117.0000     0.0000     1.0000     0.0000
 354          1   117.0000     0.0000     1.0000     0.0000
 355          1   117.0000     0.0000     1.0000     0.0000
 356          1   117.0000     0.0000     1.0000     0.0000
 357          1   117.0000     0.0000     1.0000     0.0000
 358          1   117.0000     0.0000     1.0000     0.0000
 359          1   117.0000     0.0000     1.0000     0.0000
 360          1   117.0000     0.0000     1.0000     0.0000
 361          1   117.0000     0.0000     1.0000     0.0000
 362          1   117.0000     0.0000     1.0000     0.0000
 363          1   117.0000     0.0000     1.0000     0.0000
 364          1   115.0000     0.0000     1.0000     0.0000
 365          1   117.0000     0.0000     1.0000     0.0000
 366          1   117.0000     0.0000     1.0000     0.0000
 367          1   117.0000     0.0000     1.0000     0.0000
 368          1   116.0000     0.0000     1.0000     0.0000
 369          1   117.0000     0.0000     1.0000     0.0000
 370          1   117.0000     0.0000     1.0000     0.0000
 371          1   117.0000     0.0000     1.0000     0.0000
 372          1   117.0000     0.0000     1.0000     0.0000
 373          2    58.5000     0.0000     1.0000     0.0000
 374          1   116.0000     0.0000     1.0000     0.0000
 375          1   117.0000     0.0000     1.0000     0.0000
 376          1   116.0000     0.0000     1.0000     0.0000
 377          1   116.0000     0.0000     1.0000     0.0000
 378          1   117.0000     0.0000     1.0000     0.0000
 379          1   117.0000     0.0000     1.0000     0.0000
 380          1   117.0000     0.0000     1.0000     0.0000
 381          1   117.0000     0.0000     1.0000     0.0000
 382          1   115.0000     0.0000     1.0000     0.0000
 383          1   116.0000     0.0000     1.0000     0.0000
 384          1   116.0000     0.0000     1.0000     0.0000
 385          1   117.0000     0.0000     1.0000     0.0000
 386          1   116.0000     0.0000     1.0000     0.0000
 387          1   117.0000     0.0000     1.0000     0.0000
 388          1   116.0000     0.0000     1.0000     0.0000
 389          1   116.0000     0.0000     1.0000     0.0000
 390          1   117.0000     0.0000     1.0000     0.0000
 391          1   117.0000     0.0000     1.0000     0.0000
 392          1   117.0000     0.0000     1.0000     0.0000
 393          1   117.0000     0.0000     1.0000     0.0000
 394          1   116.0000     0.0000     1.0000     0.0000
 395          1   117.0000     0.0000     1.0000     0.0000
 396          1   116.0000     0.0000     1.0000     0.0000
 397          1   117.0000     0.0000     1.0000     0.0000
 398          1   117.0000     0.0000     1.0000     0.0000
 399          1   117.0000     0.0000     1.0000     0.0000
 400          1   117.0000     0.0000     1.0000     0.0000
 401          1   117.0000     0.0000     1.0000     0.0000
 402          1   117.0000     0.0000     1.0000     0.0000
 403          1   116.0000     0.0000     1.0000     0.0000
 404          1   116.0000     0.0000     1.0000     0.0000
 405          1   117.0000     0.0000     1.0000     0.0000
 406          1   116.0000     0.0000     1.0000     0.0000
 407          1   117.0000     0.0000     1.0000     0.0000
 408          1   117.0000     0.0000     1.0000     0.0000
 409          1   117.0000     0.0000     1.0000     0.0000
 410          1   116.0000     0.0000     1.0000     0.0000
 411          1   117.0000     0.0000     1.0000     0.0000
 412          1   117.0000     0.0000     1.0000     0.0000
 413          1   117.0000     0.0000     1.0000     0.0000
 414          1   117.0000     0.0000     1.0000     0.0000
 415          1   116.0000     0.0000     1.0000     0.0000
 416          1   117.0000     0.0000     1.0000     0.0000
 417          1   116.0000     0.0000     1.0000     0.0000
 418          1   117.0000     0.0000     1.0000     0.0000
 419          1   117.0000     0.0000     1.0000     0.0000
 420          1   117.0000     0.0000     1.0000     0.0000
 421          1   117.0000     0.0000     1.0000     0.0000
 422          1   117.0000     0.0000     1.0000     0.0000
 423          1   117.0000     0.0000     1.0000     0.0000
 424          1   117.0000     0.0000     1.0000     0.0000
 425          1   117.0000     0.0000     1.0000     0.0000
 426          1   117.0000     0.0000     1.0000     0.0000
 427          1   117.0000     0.0000     1.0000     0.0000
 428          1   117.0000     0.0000     1.0000     0.0000
 429          1   117.0000     0.0000     1.0000     0.0000
 430          1   116.0000     0.0000     1.0000     0.0000
 431          1   116.0000     0.0000     1.0000     0.0000
 432          1   117.0000     0.0000     1.0000     0.0000
 433          1   117.0000     0.0000     1.0000     0.0000
 434          1   117.0000     0.0000     1.0000     0.0000
 435          1   117.0000     0.0000     1.0000     0.0000
 436          1   117.0000     0.0000     1.0000     0.0000
 437          1   117.0000     0.0000     1.0000     0.0000
 438          1   116.0000     0.0000     1.0000     0.0000
 439          1   117.0000     0.0000     1.0000     0.0000
 440          1   117.0000     0.0000     1.0000     0.0000
 441          1   117.0000     0.0000     1.0000     0.0000
 442          1   117.0000     0.0000     1.0000     0.0000
 443          1   117.0000     0.0000     1.0000     0.0000
 444          1   116.0000     0.0000     1.0000     0.0000
 445          1   117.0000     0.0000     1.0000     0.0000
 446          1   117.0000     0.0000     1.0000     0.0000
 447          1   117.0000     0.0000     1.0000     0.0000
 448          1   117.0000     0.0000     1.0000     0.0000
 449          1   117.0000     0.0000     1.0000     0.0000
 450          1   117.0000     0.0000     1.0000     0.0000
